id,name,host_name,host_is_superhost,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,beds,price,review_scores_rating
2818,Quiet Garden View Room & Super Fast WiFi,Daniel,t,Indische Buurt,Oostelijk Havengebied - Indische Buurt,,2,$59.00,98
20168,Studio with private bathroom in the centre 1,Alexander,f,Grachtengordel,Centrum-Oost,,1,$129.00,89
25428,"Lovely, spacious 1 bed apt in Center(with lift)",Joan,t,Grachtengordel,Centrum-West,,1,$125.00,100
27886,"Romantic, stylish B&B houseboat in canal district",Flip,t,Westelijke Eilanden,Centrum-West,,1,$125.00,99
28871,Comfortable double room,Edwin,t,Amsterdam Centrum,Centrum-Oost,,1,$75.00,97
29051,Comfortable single room,Edwin,t,Amsterdam Centrum,Centrum-Oost,,1,$55.00,95
31080,2-story apartment + rooftop terrace,Nienke,f,Hoofddorppleinbuurt,Zuid,,3,$219.00,95
41125,Amsterdam Center Entire Apartment,Fatih,t,Jordaan,Centrum-West,,1,$160.00,96
43109,Oasis in the middle of Amsterdam,Aukje,f,Grachtengordel,Centrum-West,,4,$211.00,98
44129,Luxury design with canal view,Tatiana,f,Jordaan,Centrum-West,,1,$115.00,98
46386,Cozy loft in central Amsterdam,Joost,f,De Pijp,De Pijp - Rivierenbuurt,,1,$150.00,93
49552,Multatuli Luxury Guest Suite in top location,Joanna & MP,t,Grachtengordel,Centrum-West,,2,$136.00,98
49790,Luxurous Houseboat-Great Location,Klaas,f,Oud-West,De Baarsjes - Oud-West,,2,$250.00,99
50515,"Family Home (No drugs, smoking or parties)",Karin,f,Oud-West,Bos en Lommer,,3,$115.00,95
50523,B & B de 9 Straatjes (city center),Raymond,t,Grachtengordel,Centrum-West,,1,$118.00,97
52490,Amsterdam Aqua,VictorLuke,f,Zeeburg,Oostelijk Havengebied - Indische Buurt,,1,$75.00,92
53067,Spacious studio at the attic of a townhouse,DoJo,t,De Pijp,De Pijp - Rivierenbuurt,,0,$40.00,93
53671,Nice room near centre with en suite bath,Georg,f,Spaarndammer en Zeeheldenbuurt,Westerpark,,1,$75.00,91
55256,Luminous central room,Lotte,f,Nieuwmarkt en Lastage,Centrum-Oost,,1,$90.00,92
55621,"Fully equiped house, PIJP area = great",Bharati,f,De Pijp,De Pijp - Rivierenbuurt,,2,$222.00,95
55807,"Greatly located, cozy atmosphere",Rai & Clo,f,Oud-West,De Baarsjes - Oud-West,,1,$65.00,97
55868,Apartment near Museumplein (centre),Cornelie,f,Museumkwartier,Zuid,,2,$149.00,97
56703,Amsterdam Apt near Amstel River,Camiel,f,Oosterparkbuurt,Centrum-West,,2,$155.00,
58211,En Suite Apartment in a monumental canal house,Marcel,t,Grachtengordel,Centrum-West,,2,$135.00,98
62015,"Charming, beautifully & sunny place with cat Luna",Jessica,f,Indische Buurt,Oud-Oost,,1,$135.00,98
62801,Very nice appartment ALL of januari,Jan,f,Bos en Lommer,Bos en Lommer,,1,$750.00,
64736,Luxury Houseboat,Conny,t,Oud-West,De Baarsjes - Oud-West,,1,$189.00,98
67841,Amsterdam - The Pijp Apartment 1A,Dene,f,De Pijp,De Pijp - Rivierenbuurt,,1,$106.00,94
68290,Rebel - Private Room,Manuel,t,De Wallen,Centrum-West,,2,$45.00,96
68873,Yves Klein - Private Room,Manuel,t,De Wallen,Centrum-West,,1,$98.00,96
70598,Attic room with doublebed available,Nadira,t,Banne Buiksloot,Noord-West,,1,$40.00,95
75382,Garden Suite Studiohttps://www.airbnb.com/manage-l,Tina,f,Indische Buurt,Oud-Oost,,2,$55.00,95
